timestamp,other_cpu_pct
2026-09-14T02:08:18,140
2026-09-14T02:08:48,127
2026-09-14T02:09:18,135
2026-09-14T02:09:48,115
2026-09-14T02:10:18,135
2026-09-14T02:10:48,128
2026-09-14T02:11:19,120
2026-09-14T02:11:49,145
2026-09-14T02:12:19,126
2026-09-14T02:12:49,120
2026-09-14T02:13:19,133
2026-09-14T02:13:49,134
2026-09-14T02:14:19,119
2026-09-14T02:14:49,149
2026-09-14T02:15:19,121
2026-09-14T02:15:49,139
2026-09-14T02:16:19,125
2026-09-14T02:16:49,130
2026-09-14T02:17:19,113
2026-09-14T02:17:49,143
2026-09-14T02:18:19,131
2026-09-14T02:18:49,144
2026-09-14T02:19:20,122
2026-09-14T02:19:50,154
2026-09-14T02:20:20,292
2026-09-14T02:20:50,186
2026-09-14T02:21:20,235
2026-09-14T02:21:50,138
2026-09-14T02:22:20,136
2026-09-14T02:22:50,145
2026-09-14T02:23:20,140
2026-09-14T02:23:50,145
2026-09-14T02:24:20,121
2026-09-14T02:24:50,317
2026-09-14T02:25:20,120
2026-09-14T02:25:50,123
2026-09-14T02:26:20,131
2026-09-14T02:26:51,124
2026-09-14T02:27:21,148
2026-09-14T02:27:51,133
2026-09-14T02:28:21,131
2026-09-14T02:28:51,127
2026-09-14T02:29:21,154
2026-09-14T02:29:51,146
2026-09-14T02:30:21,138
2026-09-14T02:30:51,140
2026-09-14T02:31:21,132
2026-09-14T02:31:51,150
2026-09-14T02:32:21,154
2026-09-14T02:32:51,141
2026-09-14T02:33:21,143
2026-09-14T02:33:51,158
2026-09-14T02:34:22,129
2026-09-14T02:34:52,143
2026-09-14T02:35:22,142
2026-09-14T02:35:52,144
2026-09-14T02:36:22,146
2026-09-14T02:36:52,130
2026-09-14T02:37:22,129
2026-09-14T02:37:52,126
2026-09-14T02:38:22,130
2026-09-14T02:38:52,117
2026-09-14T02:39:22,146
2026-09-14T02:39:52,147
2026-09-14T02:40:22,128
2026-09-14T02:40:52,126
2026-09-14T02:41:22,129
2026-09-14T02:41:52,118
2026-09-14T02:42:23,129
2026-09-14T02:42:53,151
2026-09-14T02:43:23,135
2026-09-14T02:43:53,131
2026-09-14T02:44:23,140
2026-09-14T02:44:53,5
2026-09-14T02:45:23,51
2026-09-14T02:45:53,3
2026-09-14T02:46:23,4
2026-09-14T02:46:53,2
2026-09-14T02:47:23,2
2026-09-14T02:47:53,106
2026-09-14T02:48:23,47
2026-09-14T02:48:53,120
2026-09-14T02:49:23,112
2026-09-14T02:49:54,309
2026-09-14T02:50:24,295
2026-09-14T02:50:54,143
2026-09-14T02:51:24,127
2026-09-14T02:51:54,121
2026-09-14T02:52:24,142
2026-09-14T02:52:54,141
2026-09-14T02:53:24,134
2026-09-14T02:53:54,153
2026-09-14T02:54:24,116
2026-09-14T02:54:54,121
2026-09-14T02:55:24,143
2026-09-14T02:55:54,130
2026-09-14T02:56:24,145
2026-09-14T02:56:55,119
2026-09-14T02:57:25,128
2026-09-14T02:57:55,112
2026-09-14T02:58:25,122
2026-09-14T02:58:55,135
2026-09-14T02:59:25,145
